word,id
the,3652
and,2137
to,1827
a,1578
Harry,1252
of,1233
was,1150
he,1020
in,898
his,892
—,883
had,689
said,659
you,581
at,580
it,550
on,544
that,523
as,482
He,469
I,463
they,424
with,401
Stone,371
Potter,371
but,364
|,345
Page,345
Rowling,345
Philosophers,345
be,344
J.K.,334
-,334
for,330
out,318
were,299
all,284
him,284
have,283
up,277
The,260
Ron,250
what,230
from,228
into,219
back,211
Hagrid,210
been,207
their,204
about,201
It,196
if,194
them,193
one,191
not,188
didn’t,183
like,182
got,182
get,182
Hermione,182
“I,177
could,173
so,172
off,172
she,171
looked,167
this,167
Professor,160
very,160
just,157
...,156
They,155
down,151
over,149
who,147
her,145
know,142
is,140
when,139
see,138
by,136
"Harry,",135
me,135
your,134
there,127
going,127
are,126
an,125
around,121
do,118
he’d,116
no,116
think,116
through,115
Harry.,114
”,114
Snape,113
Uncle,111
never,109
we,108
.,108
don’t,107
Harry’s,107
him.,103
would,103
more,102
couldn’t,100
only,99
Dudley,96
or,93
looking,93
than,93
something,91
told,90
look,89
even,89
how,89
A,88
my,87
go,87
first,87
it.,86
Dumbledore,85
it’s,84
next,83
because,83
time,83
still,82
thought,82
will,82
which,81
then,81
its,81
where,80
did,80
Mr.,79
before,79
"it,",77
turned,77
ter,77
wasn’t,76
an’,75
came,75
"Ron,",75
other,74
“You,74
them.,74
I’m,74
people,74
yeh,73
"said,",73
Ron.,73
...”,72
Vernon,72
toward,71
eyes,71
some,71
now,70
seemed,70
behind,70
way,70
And,68
heard,68
Quirrell,68
can,67
"him,",67
found,67
want,67
though,67
made,66
McGonagall,66
Malfoy,66
door,66
tell,65
"Hagrid,",65
come,65
little,64
trying,64
really,63
two,63
went,63
There,61
last,61
left,60
any,60
Gryffindor,60
tried,59
said.,58
put,58
bit,58
us,58
saw,57
here,57
took,57
But,57
take,57
head,57
let,56
much,56
I’ve,56
too,55
Neville,54
right,54
face,54
long,53
yer,53
must,53
old,53
“But,53
few,53
Aunt,52
say,52
find,52
“What,52
knew,52
hadn’t,51
ever,51
She,51
pulled,51
might,51
"you,",51
good,51
again.,50
suddenly,49
make,49
boy,49
keep,49
while,48
“I’m,48
large,48
he’s,48
three,48
after,48
that’s,48
himself,47
"“Oh,",47
Quidditch,47
seen,47
felt,47
almost,47
can’t,47
anything,46
wouldn’t,45
front,45
sat,45
walked,45
Petunia,44
things,44
Mrs.,44
until,44
black,44
started,44
another,44
Dursley,43
Hermione.,43
You,43
“And,42
great,42
Hagrid.,41
without,41
fell,41
asked,41
wand,41
you’re,41
thing,40
As,40
past,40
At,40
“It’s,40
stop,39
His,39
being,39
school,39
"them,",38
always,38
nothing,38
onto,38
under,38
lot,38
across,37
House,37
“The,37
inside,37
gave,37
away,37
end,37
our,37
wanted,37
hand,37
reached,37
open,36
every,36
should,36
Then,36
room,36
enough,36
sure,36
already,36
kept,35
Hogwarts,35
Filch,35
why,35
"up,",35
When,35
all.,34
full,34
Madam,34
quite,34
try,34
they’d,34
read,34
called,34
stood,34
"on,",34
once,33
whole,33
dark,33
I’ll,33
everyone,33
points,33
new,33
done,32
Wood,32
"there,",32
each,32
’s,32
What,32
"“Well,",32
caught,32
o’,31
Dursleys,31
standing,31
ask,31
books,31
better,31
hear,30
“Don’t,30
against,30
moment,30
outside,30
top,30
gone,29
getting,29
If,29
owl,29
voice,29
has,29
remember,29
letter,29
fer,28
nearly,28
air,28
half,28
“,28
along,28
coming,28
stared,28
"right,",28
hundred,28
In,27
most,27
Weasley,27
same,27
hat,27
second,27
silver,27
night,27
white,27
quickly,26
small,26
mind,26
"Neville,",26
day,26
This,26
“So,26
cloak,26
able,26
All,26
they’re,26
“We,26
many,26
"later,",26
high,26
saying,26
we’re,25
weren’t,25
"Potter,",25
five,25
"Hermione,",25
talking,25
green,25
anyone,25
room.,25
Great,25
man,25
need,25
years,25
"now,",25
