,word,id,next_id
0,THE,17.0000569,
1,BOY,1.0008915,17.0000569
2,WHO,1.0007681,1.0008915
3,LIVED,1.0009245,1.0007681
4,Mr.,79.0000135,1.0009245
5,and,2137.0000001,79.0000135
6,Mrs.,44.0000248,2137.0000001
7,"Dursley,",6.0001566,44.0000248
8,of,1233.0000005,6.0001566
9,number,14.0000684,1233.0000005
10,"four,",3.0002593,14.0000684
11,Privet,16.0000608,3.0002593
12,"Drive,",3.0002519,16.0000608
13,were,299.0000035,3.0002519
14,proud,3.0002546,299.0000035
15,to,1827.0000002,3.0002546
16,say,52.0000211,1827.0000002
17,that,523.0000017,52.0000211
18,they,424.0000021,523.0000017
19,perfectly,5.0001742,424.0000021
20,"normal,",2.0003341,5.0001742
21,thank,4.0002197,2.0003341
22,you,581.0000013,4.0002197
23,very,160.0000068,581.0000013
24,much.,9.0001069,160.0000068
25,They,155.0000071,9.0001069
26,the,3652.0,155.0000071
27,last,61.0000182,3652.0
28,people,74.0000148,61.0000182
29,you’d,16.0000607,74.0000148
30,expect,11.0000858,16.0000607
31,be,344.000003,11.0000858
32,involved,3.0003,344.000003
33,in,898.0000008,3.0003
34,anything,46.0000241,898.0000008
35,strange,16.0000618,46.0000241
36,or,93.0000109,16.0000618
37,"mysterious,",1.001042,93.0000109
38,because,83.0000125,1.001042
39,just,157.0000069,83.0000125
40,didn’t,183.0000055,157.0000069
41,hold,11.0000902,183.0000055
42,with,401.0000022,11.0000902
43,such,21.0000468,401.0000022
44,nonsense.,1.0010347,21.0000468
45,Dursley,43.0000253,1.0010347
46,was,1150.0000006,43.0000253
47,director,2.0004899,1150.0000006
48,a,1578.0000003,2.0004899
49,firm,2.0003733,1578.0000003
50,called,34.0000311,2.0003733
51,"Grunnings,",1.0009673,34.0000311
52,which,81.000013,1.0009673
53,made,66.0000169,81.000013
54,drills.,2.0003617,66.0000169
55,He,469.0000019,2.0003617
56,"big,",4.0002109,469.0000019
57,beefy,1.0008426,4.0002109
58,man,25.0000394,1.0008426
59,hardly,21.0000467,25.0000394
60,any,60.0000184,21.0000467
61,"neck,",6.0001481,60.0000184
62,although,6.0001553,6.0001481
63,he,1020.0000007,6.0001553
64,did,80.0000134,1020.0000007
65,have,283.0000038,80.0000134
